VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,edad,SANGRADO.BRUCEIOSIS,Status
2096,032 010006502096,2025-09-24,10:53:33,,Nueva etiqu.:2096,,,,Yes,4d,Yes,
2097,032 010006502097,2025-09-24,10:55:02,,Nueva etiqu.:2097,,,,Yes,4d,Yes,
2098,032 010006502098,2025-09-24,10:56:02,,Nueva etiqu.:2098,,,,Yes,4d,Yes,
2099,032 010006502099,2025-09-24,10:56:39,,Nueva etiqu.:2099,,,,Yes,4d,Yes,
1863,032 010006501863,2025-09-24,10:58:14,,Nueva etiqu.:1863,,,,Yes,4d,Yes,

 ,Total Head,151
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
