VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1377,032 010006501377,2025-04-23,14:03:07,,Nueva etiqu.:1377,,,,Yes,4,MD,CABEZA,
1378,032 010006501378,2025-04-23,14:04:08,,Nueva etiqu.:1378,,,,Yes,4,1/4D,cuerpo,
1379,032 010006501379,2025-04-23,14:04:42,,Nueva etiqu.:1379,,,,Yes,3,1/4D,CABEZA,
1382,032 010006501382,2025-04-23,14:10:59,,Nueva etiqu.:1382,,,,Yes,4,bll,CABEZA,
1383,032 010006501383,2025-04-23,14:11:33,,Nueva etiqu.:1383,,,,Yes,3,1/4D,cuerpo,
1386,032 010006501386,2025-04-23,14:15:22,,Nueva etiqu.:1386,,,,Yes,4,bll,CABEZA,
1388,032 010006501388,2025-04-23,14:19:49,,Nueva etiqu.:1388,,,,Yes,3,bll,cuerpo,
1389,032 010006501389,2025-04-23,14:21:08,,Nueva etiqu.:1389,,,,Yes,4,MD,cuerpo,
1391,032 010006501391,2025-04-23,14:23:56,,Nueva etiqu.:1391,,,,Yes,4,bll,CABEZA,
1393,032 010006501393,2025-04-23,14:25:55,,Nueva etiqu.:1393,,,,Yes,3,1/4D,cuerpo,
1394,032 010006501394,2025-04-23,14:33:04,,Nueva etiqu.:1394,,,,Yes,3,bll,CABEZA,
1395,032 010006501395,2025-04-23,14:34:02,,Nueva etiqu.:1395,,,,Yes,4,1/4D,CABEZA,
1397,032 010006501397,2025-04-23,14:36:30,,Nueva etiqu.:1397,,,,Yes,3,bll,cuerpo,
1154,032 010006501154,2025-04-23,08:28:04,,Nueva etiqu.:1154,,,,Yes,2,MD,VACIA,
1171,032 010006501171,2025-04-23,08:47:48,,Nueva etiqu.:1171,,,,Yes,3,1/4D,VACIA,
1177,032 010006501177,2025-04-23,08:57:24,,Nueva etiqu.:1177,,,,Yes,3,1/4D,VACIA,
1210,032 010006501210,2025-04-23,09:43:59,,Nueva etiqu.:1210,,,,Yes,3,1/4D,VACIA,
1217,032 010006501217,2025-04-23,09:58:12,,Nueva etiqu.:1217,,,,Yes,3,MD,VACIA,
1223,032 010006501223,2025-04-23,10:05:02,,Nueva etiqu.:1223,,,,Yes,3,1/4D,VACIA,
